Frequenza_Hz;Amp_Ideale_dB;Amp_Distorta_dB;Fase_Ideale_deg;Fase_Distorta_deg;Errore_Amp_dB;Errore_Fase_deg
98849.590466;-15.974244;-15.991771;-80.853465;-81.621819;-0.017527;-0.768354
104737.089796;-16.464749;-16.479961;-81.359627;-82.173744;-0.015212;-0.814117
110975.249641;-16.956539;-16.968820;-81.838587;-82.701193;-0.012281;-0.862606
117584.955405;-17.449477;-17.416197;-82.291681;-83.205664;0.033281;-0.913983
124588.336430;-17.943444;-17.958586;-82.720198;-83.688618;-0.015142;-0.968420
132008.840083;-18.438331;-18.424126;-83.125381;-84.151480;0.014205;-1.026099
139871.310265;-18.934039;-18.952341;-83.508423;-84.595637;-0.018302;-1.087214
148202.070580;-19.430482;-19.412445;-83.870469;-85.022437;0.018038;-1.151968
157029.012473;-19.927581;-19.920135;-84.212616;-85.433195;0.007446;-1.220580
166381.688608;-20.425266;-20.429634;-84.535910;-85.829188;-0.004368;-1.293278
176291.411810;-20.923474;-20.925211;-84.841352;-86.211658;-0.001737;-1.370306
186791.359902;-21.422148;-21.439626;-85.129895;-86.581816;-0.017478;-1.451921
197916.686785;-21.921239;-21.909838;-85.402446;-86.940844;0.011402;-1.538398
209704.640132;-22.420702;-22.434408;-85.659868;-87.289893;-0.013706;-1.630025
222194.686094;-22.920496;-22.958437;-85.902981;-87.630090;-0.037941;-1.727110
235428.641432;-23.420586;-23.462406;-86.132564;-87.962540;-0.041821;-1.829977
249450.813523;-23.920939;-23.915604;-86.349355;-88.288326;0.005335;-1.938970
264308.148697;-24.421527;-24.365186;-86.554057;-88.608512;0.056341;-2.054456
280050.389418;-24.922325;-24.916703;-86.747332;-88.924152;0.005622;-2.176819
296730.240819;-25.423310;-25.428599;-86.929812;-89.236283;-0.005289;-2.306471
314403.547159;-25.924461;-25.912649;-87.102091;-89.545936;0.011811;-2.443845
333129.478793;-26.425760;-26.366972;-87.264734;-89.854134;0.058789;-2.589401
352970.730273;-26.927192;-26.917045;-87.418275;-90.161901;0.010147;-2.743626
373993.730248;-27.428742;-27.450164;-87.563219;-90.470256;-0.021423;-2.907036
396268.863870;-27.930396;-27.871135;-87.700044;-90.780224;0.059261;-3.080180
419870.708444;-28.432145;-28.407986;-87.829203;-91.092838;0.024159;-3.263636
444878.283113;-28.933976;-28.841571;-87.951121;-91.409139;0.092405;-3.458018
471375.313412;-29.435882;-29.424471;-88.066203;-91.730181;0.011411;-3.663978
499450.511586;-29.937854;-30.022113;-88.174830;-92.057035;-0.084259;-3.882205
